year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,397.3790364331857,,
2015,399.18023584422565,1.8011994110399314,
2016,402.68287227328614,3.5026364290604874,
2017,404.75032244841,2.067450175123838,0.11336721691177942
2018,406.8040505676441,2.0537281192341084,0.11305900908786909
2019,409.45504618356125,2.650995615917168,0.11304645934544037
2020,411.9727976136354,2.5177514300741564,0.1130460251442261
2021,414.1781440177225,2.205346404087095,0.11304614467470708
2022,416.385221081292,2.2070770635695,0.11304945534480117
2023,418.5494841235379,2.1642630422459206,0.1131442773479339
2024,422.0778285743223,3.5283444507844024,0.11552983771174258
