year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,396.4093349712293,,
2015,398.73351437311857,2.324179401889239,
2016,402.13015732632397,3.3966429532054008,
2017,404.0144602374515,1.88430291112752,0.11445300806888328
2018,406.24415722911874,2.2296969916672538,0.11445213867501373
2019,408.9859396278035,2.741782398684734,0.11445213819956286
2020,411.27735994700754,2.2914203192040645,0.11445213822219645
2021,413.5208223650033,2.2434624179957723,0.11445213821747753
2022,415.6623973995307,2.1415750345273636,0.11445213814661595
2023,417.9684154437799,2.3060180442492424,0.11445229212730079
2024,421.51282142283645,3.5444059790565348,0.11449007729876828
