year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,397.1654674658663,,
2015,399.76196986813073,2.5965024022644343,
2016,402.70265424226557,2.9406843741348325,0.1462698181896165
2017,405.5619752174326,2.859320975167009,0.1438016002339186
2018,407.3508953772662,1.7889201598336513,0.1437126056500554
2019,409.92132073386716,2.5704253566009356,0.14371118109208894
2020,412.3612173340859,2.439896600218731,0.14371114363908566
2021,415.0816717982651,2.7204544641792268,0.14371115570482354
2022,417.2854824371432,2.2038106388780534,0.1437115226662549
2023,419.26461129019054,1.9791288530473707,0.1437263186516297
2024,422.42052248003256,3.1559111898420156,0.14542424080584654
