year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.0531848287831,,
2015,399.93220920011004,1.8790243713269206,
2016,403.2795505744604,3.3473413743503784,
2017,405.7002490873861,2.4206985129256964,0.09563673976146592
2018,407.5860904251483,1.8858413377622014,0.09557382703647617
2019,410.3659478338079,2.779857408659609,0.09557165791548453
2020,412.84066100666047,2.474713172852546,0.09557155728482049
2021,415.32090401727794,2.480243010617471,0.09557158754657438
2022,417.514767548954,2.1938635316760724,0.09557227143898625
2023,419.7467770330285,2.2320094840744673,0.09558661493178677
2024,423.0397800883884,3.293003055359918,0.09663330273973034
