year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.5390865186277,,
2015,400.280823112183,1.741736593555288,
2016,403.1494076472178,2.868584535034813,0.19738765692228286
2017,405.79282816668143,2.643420519463632,0.19158849648833465
2018,407.69093130942844,1.8981031427470043,0.19118420363730823
2019,410.1537732849057,2.462841975477261,0.19118017031670748
2020,412.83949312628096,2.68571984137526,0.19117959684091926
2021,415.50585748914153,2.666364362860577,0.19118103941142134
2022,417.6449193780144,2.1390618888728454,0.19118963643746145
2023,419.7993764234356,2.154457045421225,0.19202014089844552
2024,422.7090250961121,2.9096486726764965,0.21741717982629113
