year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2015,400.71943566092244,,
2016,403.8599790762523,3.14054341532983,0.17468197023071233
2017,406.3408711525025,2.4808920762502,0.1660218191583607
2018,408.80130112501655,2.4604299725140777,0.16571754948196799
2019,411.23944383310186,2.4381427080853086,0.16571477130551104
2020,413.4802649886839,2.2408211555820685,0.1657146118575665
2021,416.1062181858401,2.62595319715615,0.16571462641579232
2022,418.0915993476076,1.9853811617675206,0.16571602290901224
2023,420.6132513827234,2.5216520351157783,0.16578126818878466
2024,424.12529457871995,3.5120431959965686,0.16730814493846624
