year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2015,400.3715931547892,,
2016,403.23038354563346,2.8587903908442627,0.20491100589001898
2017,405.8331731578392,2.602789612205754,0.2004866497006113
2018,407.7081034476274,1.8749302897882103,0.20011672033351738
2019,410.187948697194,2.4798452495665515,0.2001130403285452
2020,412.866467688753,2.678518991559031,0.2001125278600941
2021,415.5680630946682,2.7015954059152136,0.20011263560209805
2022,417.6582166393082,2.090153544639975,0.20011500689671072
2023,419.87449135497303,2.216274715664838,0.20019903837555636
2024,422.75083256522015,2.8763412102471193,0.2019073253073113
