year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.20260994925997,,
2015,400.0323831642047,1.829773214944737,
2016,402.8873914778152,2.855008313610483,0.2036186607922555
2017,405.5312449686718,2.6438534908566,0.1933257354768234
2018,407.5079874858309,1.9767425171590958,0.19278534514207044
2019,410.01209941322827,2.504111927397389,0.19278022801464312
2020,412.72163661534967,2.709537202121396,0.19277953899900258
2021,415.34838009826467,2.6267434829150034,0.19278125280286965
2022,417.56448690565077,2.2161068073860974,0.19279717865320084
2023,419.77903952720254,2.214552621551775,0.19379846508142134
2024,422.5980511034862,2.8190115762836854,0.22080000928078283
