date,XCO2_ppm
2014-10-01,398.605
2014-11-01,398.342
2014-12-01,396.704
2015-01-01,396.533
2015-02-01,399.186
2015-03-01,399.708
2015-04-01,400.507
2015-05-01,401.056
2015-06-01,401.544
2015-07-01,401.039
2015-08-01,399.737
2015-09-01,399.96
2015-10-01,400.806
2015-11-01,401.367
2015-12-01,401.529
2016-01-01,404.028
2016-02-01,403.126
2016-03-01,404.263
2016-04-01,403.863
2016-05-01,404.438
2016-06-01,405.059
2016-07-01,404.135
2016-08-01,403.65
2016-09-01,403.931
2016-10-01,404.372
2016-11-01,403.56
2016-12-01,403.239
2017-01-01,404.168
2017-02-01,405.288
2017-03-01,405.087
2017-04-01,404.52
2017-05-01,405.557
2017-06-01,406.466
2017-07-01,405.113
2017-08-01,406.391
2017-09-01,405.546
2017-10-01,405.782
2017-11-01,406.674
2017-12-01,405.756
2018-01-01,405.946
2018-02-01,407.524
2018-03-01,408.072
2018-04-01,406.63
2018-05-01,406.927
2018-06-01,408.202
2018-07-01,407.68
2018-08-01,407.045
2018-09-01,406.89
2018-10-01,408.155
2018-11-01,408.139
2018-12-01,407.632
2019-01-01,408.037
2019-02-01,409.127
2019-03-01,410.574
2019-04-01,410.887
2019-05-01,411.813
2019-06-01,411.828
2019-07-01,411.757
2019-08-01,410.935
2019-09-01,410.689
2019-10-01,411.206
2019-11-01,409.403
2019-12-01,410.5
2020-01-01,411.574
2020-02-01,412.906
2020-03-01,414.018
2020-04-01,414.162
2020-05-01,413.0
2020-06-01,413.168
2020-07-01,413.494
2020-08-01,412.029
2020-09-01,412.18
2020-10-01,413.14
2020-11-01,412.59
2020-12-01,411.604
2021-01-01,412.67
2021-02-01,414.073
2021-03-01,414.504
2021-04-01,414.821
2021-05-01,414.466
2021-06-01,415.393
2021-07-01,415.078
2021-08-01,413.49
2021-09-01,414.523
2021-10-01,415.737
2021-11-01,415.116
2021-12-01,414.525
2022-01-01,415.648
2022-02-01,415.965
2022-03-01,417.29
2022-04-01,417.766
2022-05-01,417.066
2022-06-01,417.195
2022-07-01,417.19
2022-08-01,416.298
2022-09-01,416.197
2022-10-01,418.101
2022-11-01,416.975
2022-12-01,415.399
2023-01-01,415.352
2023-02-01,417.92
2023-03-01,419.799
2023-04-01,419.3
2023-05-01,420.531
2023-06-01,420.655
2023-07-01,420.185
2023-08-01,419.528
2023-09-01,419.481
2023-10-01,420.216
2023-11-01,420.776
2023-12-01,420.476
2024-01-01,421.66
2024-02-01,422.957
2024-03-01,422.873
2024-04-01,423.052
2024-05-01,423.022
2024-06-01,423.446
2024-07-01,423.204
2024-08-01,422.684
2024-09-01,423.077
2024-10-01,424.719
2024-11-01,424.457
2024-12-01,423.218
